id,layers,filters,kernel,pooling,val_macro_f1,val_accuracy,history_loss,history_val_loss,history_f1,history_val_f1
1,2,"[32, 64]","(3, 3)",max,0.7915084958076477,0.7896666526794434,"[0.9683331847190857, 0.575878381729126, 0.3533901274204254, 0.2013782113790512, 0.11702509969472885]","[0.7451595067977905, 0.5904419422149658, 0.6078672409057617, 0.7676580548286438, 0.834416925907135]","[0.6345935463905334, 0.7947778701782227, 0.8764317035675049, 0.9318832755088806, 0.9642786383628845]","[0.7177910804748535, 0.7881234288215637, 0.7967098355293274, 0.7671825289726257, 0.7915084958076477]"
2,2,"[32, 64]","(3, 3)",avg,0.7720954418182373,0.7703333497047424,"[1.03144371509552, 0.7260778546333313, 0.56526118516922, 0.42047372460365295, 0.2945418655872345]","[0.8782536387443542, 0.6804493069648743, 0.6500848531723022, 0.6537102460861206, 0.7602491974830627]","[0.6044557094573975, 0.7363944053649902, 0.796474039554596, 0.8516286015510559, 0.8970147967338562]","[0.6757692694664001, 0.7579677700996399, 0.7614248394966125, 0.7769045829772949, 0.7720954418182373]"
3,2,"[32, 64]","(5, 5)",max,0.7553925514221191,0.7523333430290222,"[1.0161510705947876, 0.7318977117538452, 0.5582521557807922, 0.4012809693813324, 0.25458958745002747]","[0.8317292332649231, 0.7472416162490845, 0.7234706878662109, 0.7192467451095581, 0.8378618955612183]","[0.6045477986335754, 0.7285240292549133, 0.7987596988677979, 0.8575237393379211, 0.9113166928291321]","[0.6905648112297058, 0.720508337020874, 0.7431262135505676, 0.7519437670707703, 0.7553925514221191]"
4,2,"[32, 64]","(5, 5)",avg,0.7365358471870422,0.737666666507721,"[1.07012140750885, 0.7580996751785278, 0.5615221261978149, 0.3816634714603424, 0.24562843143939972]","[0.8872400522232056, 0.7684404850006104, 0.7660014033317566, 0.7515708804130554, 0.9527969360351562]","[0.5744444727897644, 0.7216021418571472, 0.7961140275001526, 0.8660635948181152, 0.9150270819664001]","[0.6681063771247864, 0.7162845134735107, 0.7219223380088806, 0.7596275210380554, 0.7365358471870422]"
5,2,"[64, 128]","(3, 3)",max,0.7922105193138123,0.7900000214576721,"[0.8972604870796204, 0.5509512424468994, 0.3413584232330322, 0.18104292452335358, 0.09389890730381012]","[0.7159280776977539, 0.586389422416687, 0.6330030560493469, 0.7620297074317932, 0.8427919745445251]","[0.6595549583435059, 0.8039042949676514, 0.8834426999092102, 0.9401440620422363, 0.9715423583984375]","[0.7499009966850281, 0.7931615710258484, 0.7968695759773254, 0.7980144619941711, 0.7922105193138123]"
6,2,"[64, 128]","(3, 3)",avg,0.7696710228919983,0.7723333239555359,"[1.0166786909103394, 0.7193647623062134, 0.520749568939209, 0.3731604516506195, 0.23950307071208954]","[0.8728840351104736, 0.7376523613929749, 0.6932747960090637, 0.6772869229316711, 0.8325188159942627]","[0.6102668642997742, 0.7368832230567932, 0.8129588961601257, 0.869070291519165, 0.918647289276123]","[0.6783347725868225, 0.737727701663971, 0.753699004650116, 0.7713077664375305, 0.7696710228919983]"
7,2,"[64, 128]","(5, 5)",max,0.7601345181465149,0.7586666941642761,"[1.0857412815093994, 0.833654522895813, 0.6641405820846558, 0.5299150943756104, 0.399586021900177]","[0.8277913928031921, 0.8590589761734009, 0.6952356696128845, 0.7334820032119751, 0.7425615787506104]","[0.5734613537788391, 0.6831643581390381, 0.7541728615760803, 0.8083288073539734, 0.8587398529052734]","[0.6695489287376404, 0.6526005864143372, 0.744964599609375, 0.7246292233467102, 0.7601345181465149]"
8,2,"[64, 128]","(5, 5)",avg,0.7555223107337952,0.7526666522026062,"[1.1068350076675415, 0.7961872220039368, 0.6430829167366028, 0.5827456116676331, 0.43474388122558594]","[0.9038053154945374, 0.7573985457420349, 0.7240965962409973, 0.7451342940330505, 0.7504714131355286]","[0.5724748969078064, 0.7026745676994324, 0.7615311741828918, 0.79134601354599, 0.8435937762260437]","[0.6494325399398804, 0.7162528038024902, 0.7407944798469543, 0.7337880730628967, 0.7555223107337952]"
9,3,"[32, 64, 128]","(3, 3)",max,0.8041534423828125,0.8040000200271606,"[0.9233108162879944, 0.6146715879440308, 0.46427133679389954, 0.3612033724784851, 0.25192099809646606]","[0.6810603141784668, 0.5738577842712402, 0.5865299701690674, 0.5311160087585449, 0.5924035310745239]","[0.6442707180976868, 0.7789275646209717, 0.8349103927612305, 0.8686347007751465, 0.9123243689537048]","[0.7526498436927795, 0.7913216948509216, 0.7841663360595703, 0.8281161189079285, 0.8041534423828125]"
10,3,"[32, 64, 128]","(3, 3)",avg,0.8052306175231934,0.8046666383743286,"[1.058264970779419, 0.7363778352737427, 0.5798115730285645, 0.4618034362792969, 0.38532543182373047]","[0.8345815539360046, 0.7280709743499756, 0.6134526133537292, 0.5421115756034851, 0.5866447687149048]","[0.5886793732643127, 0.7306666374206543, 0.7897908091545105, 0.835242748260498, 0.8614692687988281]","[0.6761086583137512, 0.7249113917350769, 0.778876006603241, 0.8040286898612976, 0.8052306175231934]"
11,3,"[32, 64, 128]","(5, 5)",max,0.815951406955719,0.8136666417121887,"[1.0416691303253174, 0.7584124803543091, 0.6076802015304565, 0.49351686239242554, 0.38792145252227783]","[0.8739751577377319, 0.8368257880210876, 0.6207832098007202, 0.563626229763031, 0.5607339143753052]","[0.577202558517456, 0.7167048454284668, 0.7755663990974426, 0.8218445181846619, 0.8601851463317871]","[0.6706774830818176, 0.6902086138725281, 0.7828741073608398, 0.7992300987243652, 0.815951406955719]"
